m50w,t85w,COG,mean,ang,std,kurt,sm2std,grmn,class
-0.493289019,-0.386356118,-0.10337958,-0.113431369,-0.327368888,0.859415065,-0.897945895,0.5,-0.333333333,2FJ
-0.673289625,-0.690279544,-0.013894767,-0.805459427,-0.934076369,-0.645732626,-0.718127025,0.5,0,2FJ
-0.416272321,-0.526904355,-0.228835979,-0.88950622,-0.993142782,-0.930324422,-0.774532125,0,0,4FJ
-0.174606947,-0.253350917,0.256104252,-0.798842347,-0.9602604,-0.831010158,-0.502244641,0,0,4FJ
-0.65957238,-0.726915273,-0.391918762,-0.807039625,-0.937791456,-0.651958397,-0.774417841,0.5,0,2FJ
-0.522273966,-0.628995746,0.523215322,-0.868667356,-0.968463319,-0.806037936,-0.806681161,0.5,0,2FJ
-0.281705192,-0.194856379,-0.222249204,0.181275599,-0.567949896,0.241701213,-0.621439534,0,0.333333333,4FJ
-0.506152731,-0.62530368,0.172938225,-0.933850532,-0.991861972,-0.942892203,-0.689424302,0.25,-0.333333333,2FJ
-0.291493196,-0.394509866,0.095989975,-0.907480974,-0.980391021,-0.92041261,-0.669592816,0.25,0,2FJ
-0.651975412,-0.678345482,-0.028504158,-0.710252484,-0.905697678,-0.490059207,-0.748154962,0.5,0,2FJ
-0.298294135,-0.340826326,0.14888327,-0.648229704,-0.906001351,-0.608829565,-0.743096525,0.25,0,4FJ
-0.798703233,-0.904856388,-0.775370073,-0.854248047,-0.944214313,-0.664787223,-0.678474724,0.75,-0.333333333,2FJ
-0.635584596,-0.71784176,-0.231835761,-0.638748515,-0.866735394,-0.331350155,-0.805233822,0.5,-0.333333333,2FJ
-0.945420318,-0.83539028,0.071728849,-0.6629453,-0.584936927,0.206653313,0.29865767,0.75,-0.666666667,1FS
-0.819107468,-0.870336238,-0.838025627,-0.856420819,-0.926695842,-0.628397288,-0.621752489,0.75,-0.333333333,2FJ
-0.468119525,-0.588681023,0.55044471,-0.790842593,-0.958943826,-0.705551555,-0.885582863,0.25,0,4FJ
-0.422097349,-0.47082269,0.370912951,-0.883778001,-0.961299417,-0.836565012,-0.757099564,0.5,0,2FJ
-0.744378243,-0.652320097,0.03030303,-0.830248786,-0.812599303,-0.539820598,-0.50816978,0.5,-0.666666667,1FS
-0.384341966,-0.755130586,-0.413937001,0.061674346,-0.842281213,0.393148277,-0.827097108,0.25,0.333333333,4FJ
-0.405243905,-0.460916091,0.054098361,-0.948467366,-0.983200287,-0.93620219,-0.769163465,0.5,0,2FJ
-0.69216198,-0.826483224,-0.502909796,-0.937010929,-0.981665707,-0.877444986,-0.724450772,0.75,-0.333333333,1FS
-0.644556234,-0.747179731,-0.623366013,-0.877654733,-0.972527195,-0.781727294,-0.788441094,0.5,0,2FJ
-0.738515129,-0.862287778,-0.663011696,-0.948763653,-0.99007041,-0.903144281,-0.7743913,0.5,0,2FJ
-0.481945093,-0.342002444,0.224714519,-0.31233882,-0.671189044,0.076392254,-0.876830504,0.25,0,4FJ
-0.141839859,-0.257773645,0.221311475,-0.918344837,-0.988636747,-0.963963922,-0.154601586,-0.5,0.333333333,4FJ
-0.885937462,-0.933393062,-0.782216495,-0.80891611,-0.86783435,-0.439670166,-0.052542826,0.75,-0.333333333,1FS
0.128199304,-0.100045595,0.117907992,-0.118567013,-0.863365164,-0.332676778,-0.456044069,-0.25,0.333333333,4FJ
-0.866896553,-0.8186141,-0.260086768,-0.811187645,-0.807223183,-0.419992297,-0.127271322,0.75,-0.666666667,1FS
-0.693268137,-0.674306532,-0.065273229,-0.526159391,-0.8015402,-0.041543065,-0.738143849,0.5,-0.333333333,2FJ
-0.455982344,-0.517389897,-0.088772446,-0.501666319,-0.804688672,-0.050770037,-0.703047892,0.5,-0.333333333,2FJ
-0.785142592,-0.878530215,-0.774515504,-0.699092334,-0.837280499,-0.252208106,-0.557492553,0.75,-0.333333333,2FJ
-0.597646332,-0.636992857,0.196154958,-0.924961917,-0.957896782,-0.848053088,-0.708380799,0.75,-0.333333333,1FS
-0.801752249,-0.8996542,-0.394179894,-0.901950281,-0.945333951,-0.736997771,-0.469849105,0.75,-0.333333333,1FS
-0.745055267,-0.754558692,-0.292688624,-0.756967094,-0.872724993,-0.437690857,-0.620905915,0.5,-0.333333333,2FJ
-0.359209651,-0.432712861,0.390574713,-0.895629488,-0.972925001,-0.876102634,-0.745592835,0.5,0.333333333,2FJ
-0.438094339,-0.514541473,-0.431715966,-0.277574459,-0.793902574,0.024387389,-0.867003607,0.25,0.333333333,4FJ
-0.779418061,-0.774803898,-0.613926189,-0.649019803,-0.832649455,-0.214764521,-0.579474602,0.5,-0.333333333,2FJ
-0.623361289,-0.49057178,0.070298397,-0.418804675,-0.699399453,0.111740214,-0.829850148,0.5,-0.333333333,2FJ
-0.303172976,-0.372878707,0.44091862,-0.866099534,-0.969089862,-0.846872892,-0.773623656,0.25,0.333333333,4FJ
-0.480630792,-0.377509355,-0.118326865,-0.275401686,-0.444468012,0.519852108,-0.876106661,0.5,-0.333333333,2FJ
-0.628329319,-0.498809572,0.745954693,-0.591243806,-0.809964197,-0.158583341,-0.901068431,0.25,-0.333333333,2FJ
-0.687037853,-0.55165566,0.649267399,-0.751238875,-0.880013975,-0.527033959,-0.814018246,0.5,0,2FJ
-0.32916864,-0.418212137,0.388241011,-0.937208453,-0.986774695,-0.939731736,-0.715666058,0.5,0.333333333,2FJ
-0.38214995,-0.554625369,-0.095034595,-0.796175762,-0.978827032,-0.861969776,-0.791404932,-0.25,0.333333333,4FJ
-0.004958678,0.270125224,0.314078564,0.069081526,1,0.032274643,-0.46434115,-0.25,0.666666667,4FJ
-0.819199395,-0.718563561,0.611317254,-0.612971531,-0.44670452,0.16221571,-0.327608394,0.75,-0.666666667,1FS
-0.706931938,-0.57780126,0.314298979,-0.897012161,-0.914570193,-0.750646148,-0.658370973,0.5,-0.333333333,1FS
-0.712634236,-0.74098315,-0.629955188,-0.943331722,-0.980278639,-0.879951936,-0.684803996,0.5,0,1FS
-0.627530683,-0.512820054,0.771596762,-0.59144133,-0.79974083,-0.131353176,-0.881487974,0.5,-0.333333333,2FJ
-0.834505476,-0.776695103,-0.355209089,-0.494061615,-0.429493071,0.619493109,-0.452079051,0.5,-0.666666667,1FS
-0.633838734,-0.706305895,-0.281981982,-0.289722233,-0.713628445,0.400836096,-0.805489697,0.5,0,2FJ
-0.02136869,-0.100139471,-0.128508204,-0.428878439,-0.915633927,-0.573937104,-0.631852595,-0.25,0.333333333,4FJ
-0.677041763,-0.680823755,0.833770205,-0.888123546,-0.919045645,-0.714159128,-0.744273042,0.75,-0.333333333,1FS
-0.474205772,-0.51689198,0.303589744,-0.782052741,-0.920096075,-0.661623738,-0.784461264,0.5,0,2FJ
-0.479719373,-0.548408644,0.59973367,-0.569121031,-0.881876966,-0.298563917,-0.910741519,0.75,0,4FJ
-0.906328602,-0.847278251,-0.905643093,-0.769312393,-0.635950855,-0.191335983,0.201464647,0.75,-0.666666667,1FS
-0.447879206,-0.502922992,0.316388467,-0.843581709,-0.94826072,-0.772405037,-0.770268968,0.5,0,2FJ
-0.477627954,-0.712820513,-0.582878953,-0.948269841,-0.992757087,-0.920949006,-0.828972134,0.5,0,2FJ
-0.513335724,-0.813050503,0.325831703,-0.584626726,-0.882539861,-0.258688361,-0.698389753,0.5,0,2FJ
-0.702607571,-0.629342747,0.840479837,-0.974343112,-0.960874326,-0.909820522,-0.859152262,0.75,-0.333333333,1FS
-0.740624331,-0.788853152,-0.658862876,-0.920715135,-0.975229577,-0.839800231,-0.720659151,0.5,0,2FJ
-0.480673186,-0.602339024,0.537328094,-0.536134393,-0.902106193,-0.332139535,-0.873291893,0.5,0,4FJ
-0.642593648,-0.623444594,0.224400871,-0.585515587,-0.742640613,-0.10764138,-0.715382464,0.5,-0.333333333,2FJ
-0.833476968,-0.882515322,-0.827592805,-0.694746789,-0.831517197,-0.211552467,-0.479652922,0.75,-0.333333333,2FJ
0.137894543,-0.827573396,0.38837431,0.411293203,-0.885188555,0.498116514,-0.572641498,0.25,0.666666667,4FJ
-0.538297427,-0.612468071,0.195590014,-0.739486151,-0.906371007,-0.555374433,-0.778310388,0.75,-0.333333333,2FJ
-0.863638295,-0.937029255,-0.772113437,-0.892567854,-0.966885188,-0.756368565,-0.629316804,0.75,-0.333333333,4FJ
-0.023301715,-0.094382184,0.017400058,-0.580972517,-0.947776323,-0.82257394,-0.646792522,-0.75,0,4FJ
-0.715019513,-0.723613887,0.115280595,-0.844075521,-0.872834755,-0.610321488,-0.436865243,0.75,-0.333333333,1FS
-0.324811185,-0.404261254,0.393515534,-0.272735102,-0.85854602,-0.159205758,-0.741879748,0.25,0.333333333,4FJ
-0.679978874,-0.756134392,0.381229236,-0.919925035,-0.958943465,-0.806721203,-0.679627914,0.5,-0.333333333,1FS
-0.697242084,-0.711000784,-0.361787035,-0.53149256,-0.817710434,-0.095909466,-0.771320359,0.5,0,2FJ
